,file_name,truth,height,width
0,9YiQ0BIbp1.png,is,84,90
1,WMbwJFodLz.png,some,81,220
2,cLTeKgFiAP.png,over,81,175
3,hSuBXzfQjm.png,function,162,297
4,sTT0Fi85vh.png,to,122,108
5,nciCWhQCYK.png,journal,137,301
6,zrn2WkfS5J.png,feature,108,234
7,5sCYYjIRjX.png,a,93,97
8,Z77YTl1skT.png,in,80,93
9,Zhhbr4kGdx.png,problem,132,363
10,09Nsu1lsjY.png,models,77,255
11,c4Z90AZtqh.png,data,109,179
12,w0ZtaM1Xd1.png,I,92,88
13,6wG6Z1V5Qm.png,feature,128,236
14,U3ivEQrZTj.png,to,71,136
15,w5ZMkNyAoZ.png,to,72,97
16,QhKoImaiZ0.png,reduction,109,451
17,4VtqtafTJL.png,values,92,200
18,YNvbzunF2L.png,it,71,93
19,qvo7jnSnD6.png,overfitting,168,507
20,ZluqLVK7OJ.png,to,98,92
21,T5X4Dd8syE.png,extract,92,288
22,V7KI6bktlA.png,you,122,179
23,qlaRa0Y0Bx.png,search,96,276
24,naOhOx0KyX.png,applying,161,339
25,k550W10NNn.png,Short,113,195
26,nOfZr4dNqn.png,and,101,170
27,t4UDgBRSpK.png,trust,77,234
28,nv2gsuUsyb.png,remember,105,337
29,HlVjD5ID9b.png,Convolution,137,342
30,DJMragTpbH.png,Model,120,282
31,x4CvBUMvpO.png,in,91,147
32,YK5AhpCQR5.png,data,109,241
33,GBsEij4i91.png,contextual,93,454
34,rEGXTz8Nor.png,depends,102,324
35,mVmZO5lLnG.png,value,104,232
36,YrWrlvAq9k.png,each,90,232
37,JknBTyyvjD.png,superior,84,306
38,fVqD7XRx7A.png,Understand,90,441
39,1oXcPXlJw4.png,use,76,174
40,TCr3mNPaMf.png,data,66,176
41,cgS5UvwEuK.png,RNN,106,246
42,zrekBg8Kv0.png,finds,148,191
43,UHvD0jF4CH.png,Neural,74,268
44,Ljo9fk36kZ.png,features,121,369
45,CYS3X7P87l.png,if,117,106
46,jRQh2fIoIE.png,The,113,219
47,CeSA2njo0M.png,in,85,147
48,h1yC5huMCU.png,data,97,189
49,J5BONkZFms.png,is,97,106
50,fgKbTlXp2X.png,N,85,93
51,86TUmjvwnx.png,data,101,205
52,NctGHuU7T8.png,sequence,154,509
53,M2VEQdCrDM.png,what,98,200
54,EYW8WiwxRP.png,DBM,114,245
55,cEF1jCSVjv.png,Deep,114,167
56,qrjEXixehC.png,a,69,74
57,0yKYJNgVlF.png,what,102,220
58,YeIIMRsgWD.png,you,96,130
59,2OBUdbAzE0.png,complex,114,284
60,qlq7izZUC7.png,parameters,95,341
61,2Er27ry6u2.png,from,128,209
62,6JWnunnjoC.png,deeper,115,282
63,bDV2aTdZoc.png,you,100,122
64,J5SytPQWi3.png,staying,158,334
65,FBGOUR2uLU.png,many,121,248
66,DxsD2FcXRk.png,Learning,137,289
67,XwCo0cuENG.png,look,79,189
68,PBvfKPMZcw.png,be,98,133
69,hxVBVgnZBh.png,recognition,104,409
70,bfW2EaFQx0.png,How,92,160
71,WWr2k06UF3.png,to,94,143
72,aEHP9uCRxx.png,different,143,363
73,OZl2BdyWkD.png,isolation,136,440
74,nnmE9H9eqb.png,a,49,66
75,yX0jIZn1jt.png,added,96,245
76,I0WENCFtS6.png,number,68,284
77,5uxZXY4nsE.png,for,128,147
78,hanxsD9Big.png,a,53,117
79,Px1Hjhfbhy.png,that,104,196
80,5ZjcnJRD8E.png,The,89,181
81,PjsPA2YO9L.png,hidden,106,313
82,ljlblvPYtt.png,data,65,222
83,pMZ9ZAGDkM.png,goal,105,187
84,3sgxIQteA9.png,GPU,117,250
85,38qBN6yBOX.png,forward,119,305
86,w3hC9VIF7z.png,look,109,195
87,QwdaYxRSOh.png,the,76,119
88,90i9fWLIdg.png,is,88,102
89,nheam7E2gN.png,looking,131,277
90,n5uJMGYMYf.png,decrease,97,328
91,rwXtdH0dm8.png,images,133,324
92,rUBSvSZotM.png,Each,90,193
93,Nj4GLg5z6l.png,don't,101,218
94,U9V4wWnhCK.png,Recurrent,90,332
95,E3VmrQB0sv.png,Modeling:,147,448
96,Nd2jb9LKx2.png,predict,123,372
97,CYpNBv9EWu.png,is,87,90
98,RYVIVNUBY4.png,to,96,113
99,OksVOYJEJY.png,solved,98,242
100,qbQ9kDFMb5.png,computationally,173,679
101,eRU2CtLju7.png,stack,95,263
102,ErU3WF5Ejc.png,is,90,67
103,x2mMbbdgEF.png,series,76,271
104,mBF2S47tHj.png,To,99,149
105,U1H36FQ6f4.png,decide,105,310
106,FtDDFYzmpD.png,continued,85,357
107,sRsTEA8BCi.png,a,80,93
108,OZLzer3qZQ.png,as,69,90
109,WgHfoRAyE5.png,reduces,100,363
110,Rr9nL3Xgyg.png,the,93,158
111,eHrpvSmgxX.png,to,91,88
112,rGw0zeesrP.png,is,74,101
113,iy0psIyjI2.png,set.,112,172
114,kGfAzB5qvJ.png,classify,148,351
115,t18ni8EQek.png,I,87,110
116,yKSMmCdySt.png,of,164,96
117,o8eeLIqhnL.png,stores,82,228
118,KX9KRctn1d.png,Autoencoder,102,479
119,0sS7CPzEbG.png,type,96,201
120,c9KgMeWtTd.png,Language,159,340
121,283IzsIHnt.png,patterns,116,337
122,DFiIm3T0ow.png,by,125,107
123,x3MY5D8vzs.png,a,53,78
124,3TkkOGvKnt.png,Neural,98,275
125,SER83MDSaQ.png,processing,130,604
126,bIK0rAmQt6.png,network,121,369
127,7abx8zwXaM.png,notes,85,200
128,ujRFcpqLMY.png,and,86,154
129,KMfpOCMiQv.png,to,98,112
